Date;Word;Count
file_1.txt;Apollo;1
file_10.txt;Apollo;0
file_100.txt;Apollo;0
file_101.txt;Apollo;0
file_102.txt;Apollo;1
file_103.txt;Apollo;1
file_104.txt;Apollo;0
file_105.txt;Apollo;1
file_106.txt;Apollo;1
file_107.txt;Apollo;1
file_108.txt;Apollo;1
file_109.txt;Apollo;0
file_11.txt;Apollo;0
file_110.txt;Apollo;0
file_111.txt;Apollo;1
file_112.txt;Apollo;0
file_113.txt;Apollo;0
file_114.txt;Apollo;1
file_115.txt;Apollo;0
file_116.txt;Apollo;0
file_117.txt;Apollo;1
file_118.txt;Apollo;1
file_119.txt;Apollo;0
file_12.txt;Apollo;1
file_120.txt;Apollo;1
file_121.txt;Apollo;1
file_122.txt;Apollo;1
file_123.txt;Apollo;1
file_124.txt;Apollo;0
file_125.txt;Apollo;0
file_126.txt;Apollo;1
file_127.txt;Apollo;0
file_128.txt;Apollo;0
file_129.txt;Apollo;1
file_13.txt;Apollo;1
file_130.txt;Apollo;0
file_131.txt;Apollo;0
file_132.txt;Apollo;1
file_133.txt;Apollo;1
file_134.txt;Apollo;0
file_135.txt;Apollo;1
file_136.txt;Apollo;1
file_137.txt;Apollo;1
file_138.txt;Apollo;1
file_139.txt;Apollo;0
file_14.txt;Apollo;0
file_140.txt;Apollo;0
file_141.txt;Apollo;1
file_142.txt;Apollo;0
file_143.txt;Apollo;0
file_144.txt;Apollo;1
file_145.txt;Apollo;0
file_146.txt;Apollo;0
file_147.txt;Apollo;1
file_148.txt;Apollo;1
file_149.txt;Apollo;0
file_15.txt;Apollo;1
file_150.txt;Apollo;1
file_16.txt;Apollo;1
file_17.txt;Apollo;1
file_18.txt;Apollo;1
file_19.txt;Apollo;0
file_2.txt;Apollo;1
file_20.txt;Apollo;0
file_21.txt;Apollo;1
file_22.txt;Apollo;0
file_23.txt;Apollo;0
file_24.txt;Apollo;1
file_25.txt;Apollo;0
file_26.txt;Apollo;0
file_27.txt;Apollo;1
file_28.txt;Apollo;1
file_29.txt;Apollo;0
file_3.txt;Apollo;1
file_30.txt;Apollo;1
file_31.txt;Apollo;1
file_32.txt;Apollo;1
file_33.txt;Apollo;1
file_34.txt;Apollo;0
file_35.txt;Apollo;0
file_36.txt;Apollo;1
file_37.txt;Apollo;0
file_38.txt;Apollo;0
file_39.txt;Apollo;1
file_4.txt;Apollo;0
file_40.txt;Apollo;0
file_41.txt;Apollo;0
file_42.txt;Apollo;1
file_43.txt;Apollo;1
file_44.txt;Apollo;0
file_45.txt;Apollo;1
file_46.txt;Apollo;1
file_47.txt;Apollo;1
file_48.txt;Apollo;1
file_49.txt;Apollo;0
file_5.txt;Apollo;0
file_50.txt;Apollo;0
file_51.txt;Apollo;1
file_52.txt;Apollo;0
file_53.txt;Apollo;0
file_54.txt;Apollo;1
file_55.txt;Apollo;0
file_56.txt;Apollo;0
file_57.txt;Apollo;1
file_58.txt;Apollo;1
file_59.txt;Apollo;0
file_6.txt;Apollo;1
file_60.txt;Apollo;1
file_61.txt;Apollo;1
file_62.txt;Apollo;1
file_63.txt;Apollo;1
file_64.txt;Apollo;0
file_65.txt;Apollo;0
file_66.txt;Apollo;1
file_67.txt;Apollo;0
file_68.txt;Apollo;0
file_69.txt;Apollo;1
file_7.txt;Apollo;0
file_70.txt;Apollo;0
file_71.txt;Apollo;0
file_72.txt;Apollo;1
file_73.txt;Apollo;1
file_74.txt;Apollo;0
file_75.txt;Apollo;1
file_76.txt;Apollo;1
file_77.txt;Apollo;1
file_78.txt;Apollo;1
file_79.txt;Apollo;0
file_8.txt;Apollo;0
file_80.txt;Apollo;0
file_81.txt;Apollo;1
file_82.txt;Apollo;0
file_83.txt;Apollo;0
file_84.txt;Apollo;1
file_85.txt;Apollo;0
file_86.txt;Apollo;0
file_87.txt;Apollo;1
file_88.txt;Apollo;1
file_89.txt;Apollo;0
file_9.txt;Apollo;1
file_90.txt;Apollo;1
file_91.txt;Apollo;1
file_92.txt;Apollo;1
file_93.txt;Apollo;1
file_94.txt;Apollo;0
file_95.txt;Apollo;0
file_96.txt;Apollo;1
file_97.txt;Apollo;0
file_98.txt;Apollo;0
file_99.txt;Apollo;1
